Position,Country/territory,"Share 2022","Share 2023","Count 2023","Change in Adjusted Share 2022-2023"
1,China,20221.2349546,23171.8425413,27736,0.136
2,"United States of America (USA)",21659.1072095,20291.7866907,29165,-0.071
3,Germany,4595.7821988,4318.6830871,9347,-0.068
4,"United Kingdom (UK)",3996.2260334,3701.984686,8880,-0.082
5,Japan,2981.7256796,2956.7489616,5161,-0.017
6,France,2335.5684521,2243.9160366,5453,-0.048
7,Canada,1817.1200259,1702.3211069,4239,-0.071
8,"South Korea",1644.4497271,1631.0177501,2777,-0.017
9,India,1293.4643094,1494.2697864,2334,0.145
10,Switzerland,1429.1589882,1393.2218805,3694,-0.034
11,Italy,1276.7847159,1313.4406228,3653,0.02
12,Australia,1381.7047711,1263.4419703,3518,-0.094
13,Spain,1228.0883046,1247.2588614,3651,0.007
14,Netherlands,1121.1338121,1153.4473621,3231,0.02
15,Sweden,808.2672157,769.3719903,2391,-0.056
16,Denmark,578.5774872,652.4015396,1933,0.118
17,Israel,664.2018526,611.486781,1448,-0.087
18,Singapore,553.1404754,542.5941845,1424,-0.028
19,Belgium,450.1010501,471.7433042,1576,0.039
20,Taiwan,456.6562191,423.6663552,1150,-0.08
21,Austria,433.2746828,401.2152527,1391,-0.082
22,Russia,453.472037,379.6637183,915,-0.17
23,Poland,299.6266643,331.7351561,1257,0.098
24,Brazil,331.1136154,293.8795224,1102,-0.12
25,Finland,270.6271861,276.8834631,947,0.014
26,Norway,246.0404469,259.0056778,1002,0.044
27,"Czech Republic",221.9663167,207.0842368,875,-0.075
28,Portugal,157.9287931,137.0556915,644,-0.14
29,"New Zealand",152.7275726,135.6533442,496,-0.12
30,"Saudi Arabia",136.151245,132.7410724,456,-0.034
31,Ireland,115.5777568,123.3762498,632,0.058
32,Iran,123.8078481,115.7696964,285,-0.073
33,Chile,108.2283817,115.6996785,618,0.06
34,"South Africa",133.3137833,104.6744583,603,-0.222
35,Turkey,99.1322424,103.931996,581,0.039
36,Hungary,102.4144291,94.5540324,496,-0.085
37,Argentina,97.9081906,85.5146708,441,-0.134
38,Mexico,87.2611205,85.2209567,438,-0.032
39,Greece,98.9379711,82.7858495,536,-0.171
40,Thailand,82.1046868,62.3596274,368,-0.247
41,Slovenia,39.529088,48.8068802,289,0.224
42,Pakistan,32.9475412,40.2776894,276,0.212
43,"United Arab Emirates",32.768312,37.7559041,270,0.142
44,Vietnam,32.3817058,36.2090614,115,0.108
45,Croatia,24.8298423,34.1321709,211,0.363
46,Estonia,33.4691111,33.5834624,215,-0.005
47,Ukraine,29.2462838,30.3541184,274,0.029
48,Romania,26.2650145,29.5775573,342,0.116
49,Iceland,30.1900258,29.5313485,113,-0.03
50,Luxembourg,32.8259834,29.4923898,90,-0.109
51,Colombia,25.5607953,24.2035012,345,-0.061
52,Malaysia,12.8604553,21.0242704,183,0.621
53,Kenya,22.9332677,19.9511608,120,-0.138
54,Uganda,15.1913934,19.403574,80,0.266
55,Cyprus,20.5633794,18.5782802,154,-0.104
56,Slovakia,16.9874397,17.2352094,214,0.006
57,Egypt,17.466641,17.1587785,205,-0.026
58,Lithuania,12.9826708,15.6281087,135,0.193
59,Indonesia,17.1491319,14.141848,112,-0.183
60,Peru,11.9206,13.1690466,136,0.095
61,Qatar,15.6026333,12.7582542,92,-0.189
62,Bulgaria,13.3075207,12.7479231,197,-0.05
63,Ecuador,11.673316,12.5457983,114,0.065
64,Latvia,9.1384852,10.7216545,100,0.163
65,Ethiopia,7.7604511,10.4040502,61,0.329
66,Bangladesh,13.6062408,10.2431933,73,-0.254
67,Serbia,15.9647671,9.9783069,219,-0.38
68,Morocco,7.2611897,9.1880435,148,0.254
69,Tanzania,9.0220238,9.1525783,76,0.006
70,Nigeria,9.2199043,8.896911,60,-0.043
71,Ghana,7.4275844,8.1125172,43,0.083
72,Uzbekistan,5.4690274,6.9665406,48,0.263
73,Uruguay,8.2403715,6.8088587,34,-0.181
74,Lebanon,5.1689569,6.1529521,41,0.18
75,Panama,4.8197667,6.023885,41,0.239
76,Malawi,6.8760449,5.925718,35,-0.146
77,Oman,4.9610085,5.7518605,22,0.149
78,Kazakhstan,7.1596577,5.4257761,35,-0.249
79,"Costa Rica",4.2684226,4.9226618,38,0.143
80,Georgia,5.1850565,4.8318719,190,-0.076
81,Philippines,7.4660013,4.4408336,135,-0.41
82,"Burkina Faso",3.089418,4.4053722,25,0.414
83,Zambia,3.9354848,4.3572986,32,0.098
84,Armenia,6.5071321,4.3260099,116,-0.341
85,Rwanda,3.0238063,4.2929459,19,0.407
86,Mozambique,2.5174261,4.11364,30,0.62
87,Jordan,4.7596016,4.0960653,21,-0.147
88,Nepal,4.2922189,3.9880988,40,-0.079
89,Zimbabwe,2.480385,3.7535017,29,0.5
91,Mali,2.1862939,3.4416357,15,0.56
92,Malta,3.1673089,3.3088332,31,0.036
92,"Democratic Republic of the Congo (DRC)",5.04787327342,3.2257107586804,24,-0.373
93,Macedonia,2.2370704,3.0339227,26,0.344
94,Gambia,4.2970976,2.9321572,21,-0.324
95,Cuba,0.6909317,2.8319564,49,3.063
96,Belarus,5.86402,2.7322395,17,-0.538
97,Tunisia,2.597353,2.7250546,17,0.04
98,Azerbaijan,0.7516148,2.7222393,135,2.59
99,Mongolia,1.8463912,2.5722239,77,0.381
100,Myanmar,1.4415858,2.4768575,16,0.703
101,Madagascar,2.2987196,2.3966639,17,0.034
102,Cameroon,2.2959018,2.3521437,27,0.016
103,"Sri Lanka",2.6660715,2.2191901,84,-0.175
104,"North Korea",4.5119048,2.21875,4,-0.513
105,Senegal,2.0355144,2.2186864,13,0.081
106,Botswana,2.9432984,1.9036803,15,-0.359
107,"French Polynesia",1.0121753,1.8582198,12,0.82
108,Cambodia,2.4374876,1.7925547,8,-0.271
109,Benin,1.8117798,1.7807385,17,-0.026
110,"Ivory Coast",1.4445602,1.6873217,19,0.158
111,Monaco,0.3143675,1.6258243,12,4.127
112,Nicaragua,2.0178064,1.3950277,8,-0.315
113,Algeria,4.8261049,1.383082,7,-0.716
114,Liberia,1.2977099,1.3366908,8,0.021
115,Guatemala,1.0887853,1.260374,19,0.148
116,Namibia,0.5999697,1.2545196,11,1.073
117,Venezuela,3.030166,1.2375676,20,-0.595
118,Kuwait,1.8857798,1.228146,75,-0.354
119,Greenland,1.0396227,1.1617446,10,0.108
120,Bolivia,2.1919178,1.116689,17,-0.495
121,Vanuatu,0.0489137,1.0547619,3,20.376
122,Haiti,1.1634882,1.0041129,11,-0.144
123,Syria,0.0274371,1,1,35.13
124,Iraq,1.8885768,0.9938162,12,-0.478
125,"Sierra Leone",0.8705761,0.7914636,6,-0.099
126,Paraguay,0.2656327,0.7796899,9,1.91
127,Niger,1.7671952,0.7608002,5,-0.573
128,Mauritius,0.1396602,0.6556687,10,3.654
129,Laos,1.0264925,0.6418856,9,-0.38
130,Guinea-Bissau,1.0048694,0.5833333,1,-0.425
131,Togo,0.222306,0.5137085,6,1.291
132,Lesotho,0.1615814,0.5070346,5,2.111
133,Kyrgyzstan,0.3177379,0.4827735,6,0.506
134,Tajikistan,0.6883117,0.4681784,4,-0.326
135,Angola,0.1802343,0.437134,5,1.404
136,Jamaica,0.1633795,0.4121525,7,1.501
137,"Palestinian territories",1.2374593,0.4060847,50,-0.675
138,Kosovo,0.2646574,0.3948035,3,0.479
139,"South Sudan",0,0.3636364,1,0
140,Bahamas,1.0848739,0.3583367,4,-0.673
141,Sudan,0.6712115,0.3511588,7,-0.481
142,"Dominican Republic",0.7470036,0.3433758,9,-0.544
143,Somalia,0.034099,0.3393939,2,8.867
144,Seychelles,0.0540084,0.3222128,10,4.914
145,Moldova,0.8766236,0.3217247,8,-0.636
146,Guinea,0.1167664,0.3047543,3,1.587
147,Bahrain,0.2425782,0.2895951,6,0.183
148,Fiji,0.025,0.289212,6,10.468
149,Eritrea,0.0232558,0.2875,2,11.255
150,Yemen,0.1914998,0.2852337,4,0.477
151,Congo,1.5845051751378,0.28545751633987,4,-0.823
151,Reunion,0.0608615,0.2829966,5,3.609
152,"Saint Vincent and The Grenadines",0.0048544,0.2408064,3,48.174
153,Andorra,0.0175439,0.2400354,5,12.563
154,"Antigua and Barbuda",0.0673544,0.2328815,3,2.427
155,Brunei,0.1297316,0.2252398,7,0.721
156,Maldives,0,0.1964052,3,0
157,"Papua New Guinea",2.9468689,0.1763834,6,-0.941
158,"East Timor",0.0333333,0.1708683,3,4.081
159,"Trinidad and Tobago",1.6769015,0.1698382,7,-0.9
160,"Cape Verde",0.9504681,0.1472343,6,-0.846
161,Afghanistan,0.027849,0.1428571,1,4.085
162,Montenegro,0.0767253,0.1367615,60,0.767
163,Honduras,0.4717467,0.1249993,34,-0.737
164,Albania,0.0358784,0.1198573,7,2.312
165,"El Salvador",0.1435626,0.1137195,5,-0.215
166,Liechtenstein,0.1404537,0.1019902,4,-0.28
167,Martinique,0.0647858,0.1,1,0.53
168,"Vatican City State (Holy See)",0.0909091,0.0909186,5,-0.009
169,Swaziland,0.1065891,0.0904762,2,-0.159
170,Guadeloupe,0,0.0898693,2,0
171,"Bosnia and Herzegovina",0.808029,0.0897062,7,-0.89
172,Palau,0.0833333,0.0779645,2,-0.073
173,Tonga,0.0555556,0.0720436,2,0.285
174,Guyana,0.0048544,0.0710535,7,13.51
175,Libya,0.0238095,0.0668557,2,1.784
176,Samoa,0.0852187,0.0599606,7,-0.303
177,Bhutan,0.2707487,0.0572863,3,-0.79
178,"Faroe Islands",1.1600767,0.054902,2,-0.953
179,Grenada,0.1159655,0.0537149,2,-0.541
180,Comoros,0,0.0526316,1,0
181,Burundi,0.0232558,0.0220922,2,-0.058
182,Barbados,0.3003089,0.0212172,5,-0.93
183,Suriname,0,0.0207833,3,0
184,"Saint Lucia",0.0086422,0.0120482,1,0.382
184,"Saint Kitts and Nevis",0.0930897,0.0120482,1,-0.872
185,Gabon,1.5073376,0.0087351,2,-0.994
186,Kiribati,0.0232558,0.0065359,1,-0.721
187,"Netherlands Antilles",0,0.004065,1,0
188,Dominica,0.0048544,0.0040161,1,-0.18
189,"Solomon Islands",0.0232558,0.0038007,2,-0.838
190,"Cook Islands",0.0185185,0.003268,1,-0.825
191,"San Marino",0,0.00123,1,0
192,Belize,0.2578719,0.000615,1,-0.998
192,Turkmenistan,0,0.000615,1,0
193,Chad,0.7078518,0,0,0
193,Aruba,0.125,0,0,0
193,Djibouti,0.1111111,0,0,0
193,Micronesia,0.1428571,0,0,0
193,"Central African Republic",0.9404636,0,0,0
