"Study type","Doubling time (years) since 2003","Doubling time (years) all time","Total studies","Studies in 2024","ratio"
"MR",2.2,2.2,15305,6429,0.42
"Mediation analysis",2.24,2.25,13309,2767,0.21
"GWAS",2.63,2.17,57795,7954,0.14
"Systematic reviews",3.67,2.98,387624,48899,0.13
"Meta-analysis",4.07,3.32,328938,37260,0.11
